JNLNO,MERCHANTNO,PRODID,DUENO,CONTNO,IDTYPE,IDNO,IDNAME,LOANAMOUNT,LOANDATE,DUEDATE,NORMALRATES,PENALTYRATES,REPAYTYPE,CHANNELJNLNO,SendRouterJnlNo,CREATETIME,UPDATETIME,year_month
010120181127000060499901000000,20180003,LN0031,20180010023884,20180921000000002894,ZJ35,91610501MA6Y24F81T,渭南开源恒通商贸有限公司,1525.0,2018-09-21,2019-01-19,5.65,18.0,4,32138220180921528361056992030000,32138220180921528361056992030000,2018-11-27 16:06:59,2018-11-27 16:06:59,2018-09
010120181127000060572701000000,20180003,LN0031,20180010026433,20180926000000003187,ZJ35,91440101MA59J0KF8B,广东海聚供应链有限公司,1000000.0,2018-09-26,2019-01-24,5.65,18.0,4,32138220180926957019871992030000,32138220180926957019871992030000,2018-11-27 16:09:03,2018-11-27 16:09:03,2018-09
010120181127000060572801000000,20180003,LN0031,20180010026367,20180921000000002894,ZJ35,91610501MA6Y24F81T,渭南开源恒通商贸有限公司,488000.0,2018-09-26,2019-01-24,5.65,18.0,4,32138220180926942217378992030000,32138220180926942217378992030000,2018-11-27 16:09:03,2018-11-27 16:09:03,2018-09
010120181127000060681501000000,20180003,LN0031,20180010027037,20180921000000002894,ZJ35,91610501MA6Y24F81T,渭南开源恒通商贸有限公司,286350.0,2018-09-29,2019-01-27,5.65,18.0,4,32138220180929206487008992030000,32138220180929206487008992030000,2018-11-27 16:10:10,2018-11-27 16:10:10,2018-09
010120181127000060704501000000,20180003,LN0031,20180010027092,20180926000000003187,ZJ35,91440101MA59J0KF8B,广东海聚供应链有限公司,2000000.0,2018-09-30,2019-01-28,5.65,18.0,4,32138220180930280810433992030000,32138220180930280810433992030000,2018-11-27 16:10:33,2018-11-27 16:10:33,2018-09
010120181127000060818601000000,20180003,LN0031,20180010028258,20181008000000003737,ZJ35,91110105551408889T,北京盛世江东汽车文化有限公司,149895.59,2018-10-09,2019-02-06,5.65,18.0,4,32138220181009070728150992030000,32138220181009070728150992030000,2018-11-27 16:14:29,2018-11-27 16:14:29,2018-10
010120181127000060967601000000,20180003,LN0031,20180010028479,20180926000000003188,ZJ35,91211400318730804Y,葫芦岛市兴东旗汽车修配有限公司,500000.0,2018-10-11,2019-02-08,5.65,18.0,4,32138220181011238381833992030000,32138220181011238381833992030000,2018-11-27 16:15:10,2018-11-27 16:15:10,2018-10
010120181127000060968201000000,20180003,LN0031,20180010028469,20181008000000003744,ZJ35,91410104566484892X,河南双旺商贸有限公司,500000.0,2018-10-11,2019-02-08,5.65,18.0,4,32138220181011229783895992030000,32138220181011229783895992030000,2018-11-27 16:15:10,2018-11-27 16:15:10,2018-10
010120181127000060968401000000,20180003,LN0031,20180010028433,20181008000000003737,ZJ35,91110105551408889T,北京盛世江东汽车文化有限公司,349814.25,2018-10-11,2019-02-08,5.65,18.0,4,32138220181011221048746992030000,32138220181011221048746992030000,2018-11-27 16:15:10,2018-11-27 16:15:10,2018-10
010120181127000061001501000000,20180003,LN0031,20180010028598,20181009000000003764,ZJ35,91360222MA35L8636M,景德镇远诚物流有限公司,500000.0,2018-10-12,2019-02-09,5.65,18.0,4,32138220181012307573587992030000,32138220181012307573587992030000,2018-11-27 16:15:30,2018-11-27 16:15:30,2018-10
010120181127000061057401000000,20180003,LN0031,20180010028849,20180926000000003188,ZJ35,91211400318730804Y,葫芦岛市兴东旗汽车修配有限公司,500000.0,2018-10-15,2019-02-12,5.65,18.0,4,32138220181015574735048992030000,32138220181015574735048992030000,2018-11-27 16:16:27,2018-11-27 16:16:27,2018-10
010120181127000061116701000000,20180003,LN0031,20180010029119,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,500000.0,2018-10-16,2019-02-13,5.65,18.0,4,32138220181016672711655992030000,32138220181016672711655992030000,2018-11-27 16:16:48,2018-11-27 16:16:48,2018-10
010120181127000061116901000000,20180003,LN0031,20180010029135,20180921000000002894,ZJ35,91610501MA6Y24F81T,渭南开源恒通商贸有限公司,417300.0,2018-10-16,2019-02-13,5.65,18.0,4,32138220181016675047827992030000,32138220181016675047827992030000,2018-11-27 16:16:48,2018-11-27 16:16:48,2018-10
010120181127000061184601000000,20180003,LN0031,20180010030142,20181012000000004036,ZJ35,91440101708239906N,广州市大路汽车配件有限公司,1000000.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017766037128992030000,32138220181017766037128992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
010120181127000061184701000000,20180003,LN0031,20180010030028,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,460920.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017743999316992030000,32138220181017743999316992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
010120181127000061184801000000,20180003,LN0031,20180010030027,20181012000000004036,ZJ35,91440101708239906N,广州市大路汽车配件有限公司,1000000.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017743997962992030000,32138220181017743997962992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
010120181127000061184901000000,20180003,LN0031,20180010030026,20181008000000003744,ZJ35,91410104566484892X,河南双旺商贸有限公司,500000.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017743996381992030000,32138220181017743996381992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
